Model,Defense,Attack,Epsilon,SampleScope,CleanMacroF1,AttackMacroF1,MacroF1Drop,MacroF1Retention,CleanAUC,AttackAUC,AUCdrop,AUCRetention,CleanHamming,AttackHamming,HammingIncrease,MicroF1Change
Adversarially trained,Adversarial Training + CLAHE,FGSM,16.0,Full test,0.11971989171644234,0.12272197584577282,-0.003002084129330479,1.0250759008072021,0.6631084099508986,0.6658651424418679,-0.0027567324909693047,1.0041572877822096,0.15523365523365523,0.1293151293151293,-0.02591852591852592,0.025547731453422207
Adversarially trained,Adversarial Training + CLAHE,FGSM,32.0,Full test,0.11971989171644234,0.08557893937172913,0.03414095234471322,0.7148264014005594,0.6631084099508986,0.6165565263669668,0.04655188358393181,0.9297974767242375,0.15523365523365523,0.10353535353535354,-0.051698301698301696,0.0065427595759748325
Adversarially trained,Adversarial Training + CLAHE,PGD,8.0,Full test,0.11971989171644234,0.12181400236156976,-0.00209411064512742,1.0174917519144382,0.6631084099508986,0.6657250087126069,-0.0026165987617082775,1.0039459592465463,0.15523365523365523,0.15806415806415808,0.0028305028305028457,0.011052988914377837
Adversarially trained,Adversarial Training + CLAHE,PGD,16.0,Full test,0.11971989171644234,0.10218732244791266,0.017532569268529682,0.853553415249859,0.6631084099508986,0.6600960042814964,0.003012405669402196,0.9954571445269028,0.15523365523365523,0.17071817071817072,0.015484515484515488,0.003495079686594099
Adversarially trained,Adversarial Training + CLAHE,PGD,32.0,Full test,0.11971989171644234,0.0915966929286597,0.028123198787782647,0.7650916787129017,0.6631084099508986,0.6515086195010442,0.011599790449854375,0.9825069471661303,0.15523365523365523,0.16896991896991898,0.013736263736263743,0.00013057439677138793
Adversarially trained,Adversarial Training + CLAHE,DeepFool,8.0,Full test,0.11971989171644234,0.08893838536023688,0.030781506356205468,0.7428872853551208,0.6631084099508986,0.615449361307323,0.04765904864357562,0.9281278175206605,0.15523365523365523,0.21803196803196803,0.0627983127983128,-0.02642844063136919
Adversarially trained,Adversarial Training + CLAHE,DeepFool,16.0,Full test,0.11971989171644234,0.06311766880041818,0.05660222291602417,0.5272112085593341,0.6631084099508986,0.5396080553362408,0.1235003546146578,0.8137554089778432,0.15523365523365523,0.2843267843267843,0.1290931290931291,-0.05661560695272455
Adversarially trained,Adversarial Training + CLAHE,DeepFool,32.0,Full test,0.11971989171644234,0.04206195856560375,0.0776579331508386,0.35133642340094895,0.6631084099508986,0.4792519829510237,0.18385642699987487,0.7227354920540233,0.15523365523365523,0.2798590298590299,0.12462537462537465,-0.07279545935032271
Adversarially trained,Adversarial Training + CLAHE,C&W,8.0,300-image attack subset,0.11775449304472306,0.09376898685905158,0.023985506185671482,0.7963092059972454,0.700085475251916,0.6066726749886228,0.09341280026329324,0.8665694353540474,0.15357142857142858,0.23285714285714285,0.07928571428571426,-0.01456919212287
Adversarially trained,Adversarial Training + CLAHE,C&W,16.0,300-image attack subset,0.11775449304472306,0.07460206699068568,0.04315242605403738,0.6335390273588276,0.700085475251916,0.5356912494382817,0.16439422581363428,0.7651797792912653,0.15357142857142858,0.3028571428571429,0.1492857142857143,-0.0430724970787522
Adversarially trained,Adversarial Training + CLAHE,C&W,32.0,300-image attack subset,0.11775449304472306,0.04743310968936731,0.07032138335535576,0.4028135866658799,0.700085475251916,0.4806694278846564,0.21941604736725961,0.6865867738674255,0.15357142857142858,0.3007142857142857,0.14714285714285713,-0.064001033011676
Adversarially trained,Adversarial Training + CLAHE,Square,8.0,300-image attack subset,0.11775449304472306,0.12838869838266373,-0.01063420533794067,1.0903082766778318,0.700085475251916,0.6526141564411072,0.047471318810808794,0.932192110122372,0.15357142857142858,0.17214285714285715,0.018571428571428572,0.01045104246993292
Adversarially trained,Adversarial Training + CLAHE,Square,16.0,300-image attack subset,0.11775449304472306,0.1152316594106042,0.0025228336341188567,0.9785754787873726,0.700085475251916,0.6272244065067535,0.07286106874516252,0.8959254672167788,0.15357142857142858,0.1788095238095238,0.025238095238095226,0.005874963107642239
Adversarially trained,Adversarial Training + CLAHE,Square,32.0,300-image attack subset,0.11775449304472306,0.09172447383519819,0.02603001920952487,0.7789467005760987,0.700085475251916,0.6206738741789359,0.07941160107298006,0.8865687064220196,0.15357142857142858,0.19166666666666668,0.0380952380952381,-0.007849833850065241
